category,semantic_field_key,source_id,source_field,fact_date_field,evidence_strategy,definition_status
identity,identity.ssl,itspe_current,SSL,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
identity,identity.square,itspe_current,SQUARE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
identity,identity.suffix,itspe_current,SUFFIX,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
identity,identity.lot,itspe_current,LOT,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
identity,identity.pressl,itspe_current,PRESSL,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
identity,identity.piparentlot,itspe_current,PIPARENTLOT,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
identity,identity.pchildcode,itspe_current,PCHILDCODE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
identity,identity.abtlotcode,itspe_current,ABTLOTCODE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
location,location.premiseadd,itspe_current,PREMISEADD,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
location,location.lownumber,itspe_current,LOWNUMBER,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
location,location.streetname,itspe_current,STREETNAME,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
location,location.qdrntname,itspe_current,QDRNTNAME,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
location,location.unitnumber,itspe_current,UNITNUMBER,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
location,location.prms_ward,itspe_current,PRMS_WARD,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
location,location.nbhd,itspe_current,NBHD,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
location,location.nbhdname,itspe_current,NBHDNAME,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
location,location.subnbhd,itspe_current,SUBNBHD,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
classification,classification.proptype,itspe_current,PROPTYPE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
classification,classification.trigroup,itspe_current,TRIGROUP,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
classification,classification.usecode,itspe_current,USECODE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
classification,classification.landarea,itspe_current,LANDAREA,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
classification,classification.classtype,itspe_current,CLASSTYPE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
classification,classification.taxrate,itspe_current,TAXRATE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
classification,classification.mixeduse,itspe_current,MIXEDUSE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
classification,classification.ownocct,itspe_current,OWNOCCT,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
classification,classification.hstdcode,itspe_current,HSTDCODE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
classification,classification.delcode,itspe_current,DELCODE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
ownership,ownership.ownername,itspe_current,OWNERNAME,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
ownership,ownership.ownname2,itspe_current,OWNNAME2,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
ownership,ownership.careofname,itspe_current,CAREOFNAME,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
ownership,ownership.address1,itspe_current,ADDRESS1,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
ownership,ownership.address2,itspe_current,ADDRESS2,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
ownership,ownership.citystzip,itspe_current,CITYSTZIP,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
